pvm	tunnit	kuvaus
17.12	3	ssh-avainten säätö, suunnittelu
17.12	2	luokkien pohjustus
18.12	5	testien ja luokkien koodailu
19.12	2	mavenin konfigurointi
19.12	3	testien ja dokumentaation kirjoittelu
20.12	2	GameLogic luokan metodien täydennys, dokumentointi
21.12	1	Grid luokan törmäystestaus, komentojonon suunnittelu
22.12	4	simppeli GUI, näppäinkuuntelija
23.12	2	ruudukon piirto ruudulle rullaa, komentojonototeutusta siistitty

vuosi vaihtuu

1.1	1	mavenin konfigurointi
1.1	2	palikoiden lisäily, pyörityskoodin uusiminen
2.1	4	törmäystarkistus
2.1	1	Grid-luokan testejä 
3.1	4	GUI:n refaktorointi
3.1	1	GameLogic-luokan testien kirjoittelu, UML:n päivitys
4.1	1	Testiluokkien luonti
5.1	3	testien siistiminen, pelilogiikan viimeistely
7.1	2	tiedostokäsittelyn testit, refaktorointia
7.1	4	pistelistan tallennus, käyttöliittymän ohjelmointi
7.1	1	dokumentointi
8.1	3	bugifiksailua ja refaktorointia
